"PERSONES_LLAR","PROVINCIA","HABITAT","COMARCA","CIUTADANIA","SEXE","EDAT","LLOC_NAIX","SIT_ECO_PERSONAL","INF_POL_DIARI_FREQ","INF_POL_TV_FREQ","INF_POL_RADIO_FREQ","INF_POL_XARXES_FREQ","INF_POL_CONEGUTS_FREQ","INF_POL_TV_CANAL","INF_POL_RADIO_EMISORA","INF_POL_PREMSA_DIARI","INF_POL_OBJ_CAP_OPOSICIO","INF_POL_OBJ_GOVERN_CAT","INF_POL_OBJ_RANG_ESCOLARITZACIO","INF_POL_OBJ_INI_ESCOLARITZACIO","INF_POL_OBJ_FI_ESCOLARITZACIO","COLLECTIU_DISCRIMINAT","LLOC_NAIX_PARE","LLOC_NAIX_MARE","GRUP_ETNIC","RELIGIO","SIT_LAB","ESTUDIS_1_15","GENERE","ORIENTACIO_SEXUAL","ESTAT_CIVIL","LLENGUA_PRIMERA","LLENGUA_IDENTIFICACIO","BENESTAR_COTXE_PROPI","BENESTAR_VACANCES","BENESTAR_SUPORT_LLAR","BENESTAR_PROPIETATS","BENESTAR_FACTURES","TIPUS_LLAR","INGRESSOS_1_15","DISCAPACITAT","Clusters"
3,"Barcelona","150.001-1.000.000 habitants","Barcelonès","Sí, tinc la ciutadania (espanyola)","Femení",41,"Fora d'Espanya","Pitjor","Mai","Tots els dies","Mai","Mai","Mai","La Sexta","No escolta els informatius","No llegeix diaris","No ho sap","No ho sap","Incorrecte","3","18","No","Fora d'Espanya","Fora d'Espanya","Llatí/ina","Catolicisme","Està temporalment de baixa","Menys de 5 anys d’escolarització","Dona","Heterosexual","Solter/a","Castellà","Castellà","No","No","No","No","Sí","Monoparental: pare/mare amb fills/es","De 901 a 1000 €","No","2"
2,"Barcelona","150.001-1.000.000 habitants","Barcelonès","Sí, tinc la ciutadania (espanyola)","Masculí",62,"Catalunya","Pitjor","Mai","Tots els dies","Mai","1-2 dies per setmana","Amb menys freqüència","TV3","No escolta els informatius","No llegeix diaris","Aproximat","Aproximat","Incorrecte","5","18","No","Altres comunitats autònomes","Altres comunitats autònomes","Blanc/a","Altres","No treballa","Educació Primària (Educació Primària de la LOGSE, 5è curs d’EGB, ensenyament primari antic)","Home","Heterosexual","Solter/a","Castellà","Castellà","No","No","No","No","No","Monoparental: pare/mare amb fills/es","De 901 a 1000 €","No","3"
2,"Barcelona","150.001-1.000.000 habitants","Barcelonès","Sí, tinc la ciutadania (espanyola)","Femení",74,"Altres comunitats autònomes","Pitjor","Mai","Tots els dies","Amb menys freqüència","Mai","Mai","Antena 3","COPE","No compra diaris","No ho sap","Aproximat","Incorrecte","3","18","No","Altres comunitats autònomes","Altres comunitats autònomes","Blanc/a","Catolicisme","No treballa","Educació Primària (Educació Primària de la LOGSE, 5è curs d’EGB, ensenyament primari antic)","Dona","Heterosexual","Separat/ada","Castellà","Castellà","No","No","No","No","No","Monoparental: pare/mare amb fills/es","No ho sap","No","1"
3,"Barcelona","150.001-1.000.000 habitants","Barcelonès","Sí, tinc la ciutadania (espanyola)","Masculí",49,"Catalunya","Millor","Mai","Tots els dies","Tots els dies","Amb menys freqüència","Mai","TV3","Catalunya Ràdio","El Periódico (català)","No ho sap","No ho sap","No ho sap","No ho sap","No ho sap","No","Catalunya","Catalunya","Llatí/ina","Catolicisme","Treballa","Educació Primària (Educació Primària de la LOGSE, 5è curs d’EGB, ensenyament primari antic)","Home","Heterosexual","Casat/ada","Català (valencià / balear)","Català (valencià / balear)","Sí","Sí","No","No","Sí","Parella amb fills/es","Més de 6.000 €","No","3"
2,"Barcelona","150.001-1.000.000 habitants","Barcelonès","Sí, tinc la ciutadania (espanyola)","Masculí",34,"Altres comunitats autònomes","Millor","Tots els dies","Mai","Mai","Tots els dies","1-2 dies per setmana","No veu la TV / No té TV","No escolta la ràdio / No té ràdio","Altres diaris estatals","No ho sap","No ho sap","Correcte","6","16","No","Altres comunitats autònomes","Altres comunitats autònomes","Blanc/a","Altres","Treballa","Màster oficial universitari (Especialitats mèdiques o equivalent)","Home","Heterosexual","Casat/ada","Castellà","Castellà","Sí","Sí","No","No","No","Parella sense fills/es i altres familiars","De 4.501 a 5.000 €","Sí","1"
3,"Lleida","2.001-10.000 habitants","Segrià","Sí, tinc la ciutadania (espanyola)","Femení",47,"Catalunya","Pitjor","5-6 dies per setmana","Tots els dies","Tots els dies","5-6 dies per setmana","1-2 dies per setmana","TV3","COPE","Diari Segre","No ho sap","No ho sap","Incorrecte","3","14","No","Altres comunitats autònomes","Catalunya","Blanc/a","Catolicisme","Treballa","FP de Grau Superior (Cicle/mòdul formatiu de FP (grau superior) d’Arts Plàstiques, Disseny, Música i Dansa, Esport,","Dona","Heterosexual","Parella de fet","Català (valencià / balear)","Català (valencià / balear)","Sí","Sí","No","No","No","Parella amb fills/es","De 4.001 a 4.500 €","No","2"
2,"Lleida","2.001-10.000 habitants","Segrià","Sí, tinc la ciutadania (espanyola)","Masculí",61,"Catalunya","Millor","5-6 dies per setmana","3-4 dies per setmana","5-6 dies per setmana","Amb menys freqüència","Tots els dies","La Sexta","Catalunya Ràdio","Diari Segre","Aproximat","Incorrecte","Aproximat","3","16","No","Catalunya","Catalunya","Blanc/a","Catolicisme","Treballa","Arquitectura/Enginyeria","Home","Heterosexual","Casat/ada","Català (valencià / balear)","Català (valencià / balear)","Sí","Sí","Sí","Sí","No","Parella sense fills/es","Més de 6.000 €","No","3"
3,"Lleida","2.001-10.000 habitants","Segrià","Sí, tinc la ciutadania (espanyola)","Femení",29,"Catalunya","Pitjor","Mai","Tots els dies","Tots els dies","1-2 dies per setmana","Amb menys freqüència","TV3","Rac 1","Diari Segre","Correcte","Correcte","Aproximat","3","16","No","Catalunya","Catalunya","Blanc/a","Catolicisme","Treballa","Llicenciatura (Titulacions amb equivalència oficial: 2on cicle INEF; dansa i Art Dramàtic (Des de 1992); Grau Superior","Dona","Heterosexual","Casat/ada","Català (valencià / balear)","Català (valencià / balear)","Sí","Sí","No","No","No","Parella amb fills/es","De 3.001 a 4.000 €","No","3"
2,"Girona","<2.000 habitants","Gironès","Sí, tinc la ciutadania (espanyola)","Femení",63,"Catalunya","Igual","Mai","3-4 dies per setmana","Mai","Mai","1-2 dies per setmana","TV3","No escolta els informatius","No llegeix diaris","No ho sap","Aproximat","Aproximat","3","16","No","Catalunya","Catalunya","Blanc/a","Catolicisme","Treballa","Educació secundaria (ESO, EGB, Graduat Escolar, Certificat d’Escolaritat, Batxillerat Elemental)","Dona","Heterosexual","Casat/ada","Català (valencià / balear)","Català (valencià / balear)","Sí","Sí","No","No","No","Parella sense fills/es","No contesta","No","3"
2,"Lleida","<2.000 habitants","Urgell","Sí, tinc la ciutadania (espanyola)","Femení",77,"Catalunya","Igual","Tots els dies","Tots els dies","Mai","Amb menys freqüència","3-4 dies per setmana","TV3","No escolta els informatius","La Vanguardia (català)","No ho sap","Correcte","Aproximat","4","16","No","Catalunya","Catalunya","Blanc/a","Catolicisme","No treballa","Llicenciatura (Titulacions amb equivalència oficial: 2on cicle INEF; dansa i Art Dramàtic (Des de 1992); Grau Superior","Dona","Heterosexual","Solter/a","Català (valencià / balear)","Català (valencià / balear)","Sí","No","Sí","No","No","Dues persones o més que no són parella","No contesta","No","3"
3,"Girona","<2.000 habitants","Gironès","Sí, tinc la ciutadania (espanyola)","Masculí",63,"Catalunya","Igual","3-4 dies per setmana","Tots els dies","Amb menys freqüència","1-2 dies per setmana","1-2 dies per setmana","La 1","Onda Cero","El País","No ho sap","Correcte","Aproximat","5","16","No","Catalunya","Catalunya","Blanc/a","Catolicisme","No treballa","Llicenciatura (Titulacions amb equivalència oficial: 2on cicle INEF; dansa i Art Dramàtic (Des de 1992); Grau Superior","Home","Heterosexual","Separat/ada","Català (valencià / balear)","Català (valencià / balear)","Sí","Sí","Sí","Sí","No","Monoparental: pare/mare amb fills/es i altres familiars","De 2.001 a 2.400 €","No","2"
2,"Girona","<2.000 habitants","Gironès","Sí, tinc la ciutadania (espanyola)","Masculí",54,"Catalunya","Igual","1-2 dies per setmana","Mai","Mai","Mai","Amb menys freqüència","No veu la TV / No té TV","No escolta els informatius","El Punt Avui","No ho sap","Correcte","Incorrecte","5","15","No","Catalunya","Catalunya","Blanc/a","Cap: Agnosticisme","No treballa","Diplomatura (Només diplomatures oficials, no codificar aquí els tres primers anys d’una llicenciatura o grau de més)","Home","Bisexual","Solter/a","Català (valencià / balear)","Català (valencià / balear)","Sí","Sí","No","No","No","Dues persones o més que no són parella","De 301 a 600 €","No","3"
3,"Tarragona","10.001-50.000 habitants","Baix Penedès","Sí, tinc la ciutadania (espanyola)","Femení",21,"Catalunya","Igual","Mai","Mai","Mai","Amb menys freqüència","Amb menys freqüència","TV3","No escolta la ràdio / No té ràdio","No llegeix diaris","No ho sap","No ho sap","No ho sap","No ho sap","No ho sap","No","Catalunya","Catalunya","Blanc/a","Cap: Ateisme","Treballa","Batxillerat (Batxillerat LOGSE, BUP, Batxillerat Superior (6è), Batxillerat Universitari (7è), inclòs COU i PREU)","Dona","Bisexual","Solter/a","Castellà","Castellà","Sí","Sí","No","No","No","Monoparental: pare/mare amb fills/es i altres familiars","De 2.401 a 3.000 €","No","3"
2,"Girona","<2.000 habitants","Gironès","Sí, tinc la ciutadania (espanyola)","Femení",24,"Catalunya","Millor","5-6 dies per setmana","Amb menys freqüència","1-2 dies per setmana","Tots els dies","3-4 dies per setmana","TV3","RAC 105","Diari de Girona","No ho sap","Incorrecte","Correcte","6","16","No","Catalunya","Catalunya","Blanc/a","Cap: Ateisme","Treballa","Grau (Estudis de grau, ensenyaments artístics equivalents (Des de 2006))","Dona","Heterosexual","Casat/ada","Català (valencià / balear)","Català (valencià / balear)","Sí","Sí","No","No","No","Parella sense fills/es","De 2.401 a 3.000 €","No","3"
1,"Girona","<2.000 habitants","Gironès","Sí, tinc la ciutadania (espanyola)","Femení",80,"Catalunya","Igual","Amb menys freqüència","1-2 dies per setmana","Mai","Mai","Amb menys freqüència","TV3","No escolta la ràdio / No té ràdio","No ho sap","No ho sap","No ho sap","Aproximat","4","16","No","Catalunya","Catalunya","Blanc/a","Catolicisme","No treballa","FP de Grau Mig (Cicle/mòdul formatiu de FP (grau mitjà), d’Arts Plàstiques i Disseny, Música i Dansa, ensenyaments","Dona","Heterosexual","Vidu/a","Català (valencià / balear)","Català (valencià / balear)","No","Sí","Sí","No","No","Jo sol/a","De 901 a 1000 €","No","3"
3,"Barcelona","2.001-10.000 habitants","Vallès Oriental","Sí, tinc la ciutadania (espanyola)","Femení",22,"Catalunya","Millor","Mai","1-2 dies per setmana","Mai","Tots els dies","1-2 dies per setmana","TV3","No escolta la ràdio / No té ràdio","No té cap diari habitual","No ho sap","No ho sap","Aproximat","5","16","No","Catalunya","Catalunya","Blanc/a","Cap: Ateisme","No treballa","Batxillerat (Batxillerat LOGSE, BUP, Batxillerat Superior (6è), Batxillerat Universitari (7è), inclòs COU i PREU)","Dona","Heterosexual","Solter/a","Català (valencià / balear)","Català (valencià / balear)","Sí","Sí","No","No","No","Monoparental: pare/mare amb fills/es","De 1.801 a 2.000 €","No","3"
3,"Barcelona","10.001-50.000 habitants","Maresme","Sí, tinc la ciutadania (espanyola)","Femení",68,"Altres comunitats autònomes","Igual","3-4 dies per setmana","Tots els dies","Amb menys freqüència","1-2 dies per setmana","Tots els dies","TV3","RAC 105","La Vanguardia (català)","Correcte","Correcte","Incorrecte","3","14","No","Altres comunitats autònomes","Altres comunitats autònomes","Altres","Catolicisme","No treballa","Diplomatura (Només diplomatures oficials, no codificar aquí els tres primers anys d’una llicenciatura o grau de més)","Dona","Heterosexual","Casat/ada","Castellà","Totes dues igual: català (valencià / balear) i castellà","Sí","Sí","Sí","Sí","No","Parella amb fills/es","De 4.001 a 4.500 €","No","2"
2,"Tarragona","10.001-50.000 habitants","Baix Penedès","Sí, tinc la ciutadania (espanyola)","Femení",64,"Altres comunitats autònomes","Igual","Mai","1-2 dies per setmana","Mai","Mai","Mai","Antena 3","Catalunya Ràdio","No llegeix diaris","No ho sap","No ho sap","Aproximat","3","16","No","Altres comunitats autònomes","Altres comunitats autònomes","Blanc/a","Catolicisme","No treballa","Educació Primària (Educació Primària de la LOGSE, 5è curs d’EGB, ensenyament primari antic)","Dona","Heterosexual","Divorciat/ada","Castellà","Totes dues igual: català (valencià / balear) i castellà","Sí","Sí","No","No","No","Dues persones o més que no són parella","De 1001 a 1200 €","No","3"
2,"Barcelona","10.001-50.000 habitants","Maresme","Sí, tinc la ciutadania (espanyola)","Femení",84,"Altres comunitats autònomes","Igual","Tots els dies","Tots els dies","Tots els dies","Tots els dies","Mai","La 1","RNE","El Periódico (castellà)","Aproximat","No ho sap","Incorrecte","3","14","No","Altres comunitats autònomes","Altres comunitats autònomes","Altres","Catolicisme","No treballa","Educació secundaria (ESO, EGB, Graduat Escolar, Certificat d’Escolaritat, Batxillerat Elemental)","Dona","Heterosexual","Casat/ada","Castellà","Castellà","No","Sí","Sí","No","No","Parella sense fills/es","No contesta","No","2"
1,"Girona","10.001-50.000 habitants","Gironès","Sí, tinc la ciutadania (espanyola)","Femení",73,"Catalunya","Pitjor","Tots els dies","Tots els dies","Mai","Mai","Amb menys freqüència","Antena 3","No escolta els informatius","Diari de Girona","No ho sap","No ho sap","No ho sap","No ho sap","No ho sap","No","Catalunya","Catalunya","Blanc/a","Cap: Ateisme","No treballa","Educació secundaria (ESO, EGB, Graduat Escolar, Certificat d’Escolaritat, Batxillerat Elemental)","Dona","Heterosexual","Solter/a","Català (valencià / balear)","Català (valencià / balear)","Sí","No","No","No","No","Jo sol/a","De 301 a 600 €","No","1"
2,"Girona","10.001-50.000 habitants","Gironès","Sí, tinc la ciutadania (espanyola)","Femení",62,"Catalunya","Igual","Mai","Tots els dies","Mai","Mai","1-2 dies per setmana","Antena 3","No escolta els informatius","No llegeix diaris","No ho sap","No ho sap","Correcte","6","16","No","Catalunya","Catalunya","Blanc/a","Catolicisme","No treballa","Educació secundaria (ESO, EGB, Graduat Escolar, Certificat d’Escolaritat, Batxillerat Elemental)","Dona","Heterosexual","Casat/ada","Català (valencià / balear)","Castellà","Sí","No","No","No","Sí","Parella sense fills/es","De 1.201 a 1.800 €","No","2"
3,"Barcelona","10.001-50.000 habitants","Maresme","Sí, tinc la ciutadania (espanyola)","Femení",55,"Catalunya","Igual","3-4 dies per setmana","Tots els dies","3-4 dies per setmana","Tots els dies","Tots els dies","TV3","Rac 1","El País","No ho sap","Correcte","Aproximat","3","16","No","Altres comunitats autònomes","Altres comunitats autònomes","Blanc/a","No contesta","Treballa","Llicenciatura (Titulacions amb equivalència oficial: 2on cicle INEF; dansa i Art Dramàtic (Des de 1992); Grau Superior","Dona","Heterosexual","Vidu/a","Castellà","Castellà","Sí","Sí","Sí","No","No","Monoparental: pare/mare amb fills/es","De 1.201 a 1.800 €","No","3"
3,"Lleida","<2.000 habitants","Urgell","Sí, tinc la ciutadania (espanyola)","Femení",59,"Catalunya","Igual","Mai","Tots els dies","Mai","Mai","Mai","TV3","No escolta els informatius","No llegeix diaris","No ho sap","No ho sap","Aproximat","3","16","No","Catalunya","Catalunya","Blanc/a","Catolicisme","No treballa","Educació Primària (Educació Primària de la LOGSE, 5è curs d’EGB, ensenyament primari antic)","Dona","Heterosexual","Casat/ada","Català (valencià / balear)","Català (valencià / balear)","Sí","No","Sí","No","No","Parella amb fills/es","De 901 a 1000 €","Sí","1"
2,"Lleida","<2.000 habitants","Urgell","Sí, tinc la ciutadania (espanyola)","Masculí",73,"Catalunya","Igual","1-2 dies per setmana","Tots els dies","Amb menys freqüència","Mai","Amb menys freqüència","TV3","Catalunya Ràdio","El País","No ho sap","Correcte","Aproximat","3","16","Sí","Catalunya","Catalunya","Altres","Cap: Agnosticisme","Treballa","Educació Primària (Educació Primària de la LOGSE, 5è curs d’EGB, ensenyament primari antic)","Home","Heterosexual","Parella de fet","Castellà","Català (valencià / balear)","No","Sí","No","Sí","No","Parella sense fills/es","De 1001 a 1200 €","No","2"
2,"Lleida","<2.000 habitants","Urgell","Sí, tinc la ciutadania (espanyola)","Femení",68,"Catalunya","Pitjor","Tots els dies","Tots els dies","Tots els dies","Tots els dies","Tots els dies","La 1","SER","La Vanguardia (català)","No ho sap","Correcte","Aproximat","3","16","No","Catalunya","Catalunya","Blanc/a","Catolicisme","No treballa","FP de Grau Mig (Cicle/mòdul formatiu de FP (grau mitjà), d’Arts Plàstiques i Disseny, Música i Dansa, ensenyaments","Dona","Heterosexual","Casat/ada","Català (valencià / balear)","Català (valencià / balear)","Sí","Sí","No","No","No","Parella sense fills/es","De 1.801 a 2.000 €","No","2"
4,"Lleida","<2.000 habitants","Urgell","Sí, tinc la ciutadania (espanyola)","Femení",18,"Catalunya","Igual","1-2 dies per setmana","Tots els dies","1-2 dies per setmana","Tots els dies","Amb menys freqüència","TV3","Catalunya Ràdio","Diari Segre","No ho sap","Aproximat","Aproximat","3","16","Sí","Catalunya","Catalunya","Blanc/a","Cap: Ateisme","No treballa","Batxillerat (Batxillerat LOGSE, BUP, Batxillerat Superior (6è), Batxillerat Universitari (7è), inclòs COU i PREU)","Dona","Heterosexual","Solter/a","Català (valencià / balear)","Català (valencià / balear)","Sí","Sí","No","No","No","Parella amb fills/es","No ho sap","No","3"
5,"Lleida","<2.000 habitants","Urgell","Sí, tinc la ciutadania (espanyola)","Femení",22,"Catalunya","Millor","Mai","3-4 dies per setmana","1-2 dies per setmana","Amb menys freqüència","1-2 dies per setmana","TV3","Altres emissores estatals","Diari Segre","No ho sap","Correcte","Aproximat","3","16","Sí","Catalunya","Catalunya","Blanc/a","Catolicisme","Treballa","Batxillerat (Batxillerat LOGSE, BUP, Batxillerat Superior (6è), Batxillerat Universitari (7è), inclòs COU i PREU)","Dona","Heterosexual","Solter/a","Català (valencià / balear)","Català (valencià / balear)","Sí","Sí","No","No","No","Parella amb fills/es i altres familiars","De 2.401 a 3.000 €","No","3"
1,"Tarragona","10.001-50.000 habitants","Baix Penedès","Sí, tinc la ciutadania (espanyola)","Masculí",62,"Catalunya","Igual","Tots els dies","Tots els dies","Tots els dies","Tots els dies","3-4 dies per setmana","TV3","RAC 105","Diaris esportius","Correcte","Correcte","No ho sap","No ho sap","No ho sap","No","Altres comunitats autònomes","Altres comunitats autònomes","Blanc/a","Cap: Ateisme","No treballa","Educació Primària (Educació Primària de la LOGSE, 5è curs d’EGB, ensenyament primari antic)","Home","Heterosexual","Divorciat/ada","Castellà","Català (valencià / balear)","Sí","Sí","No","No","No","Jo sol/a","De 1.201 a 1.800 €","Sí","3"
1,"Barcelona","10.001-50.000 habitants","Maresme","Sí, tinc la ciutadania (espanyola)","Masculí",59,"Catalunya","Igual","3-4 dies per setmana","3-4 dies per setmana","3-4 dies per setmana","3-4 dies per setmana","Mai","TV3","Catalunya Informació","No llegeix diaris","No ho sap","Correcte","Correcte","6","16","No","Catalunya","Catalunya","Altres","Catolicisme","Treballa","Grau (Estudis de grau, ensenyaments artístics equivalents (Des de 2006))","Home","Heterosexual","Vidu/a","Català (valencià / balear)","Català (valencià / balear)","Sí","Sí","Sí","Sí","No","Jo sol/a","De 2.001 a 2.400 €","No","1"
2,"Tarragona","10.001-50.000 habitants","Baix Penedès","Sí, tinc la ciutadania (espanyola)","Femení",64,"Catalunya","Igual","3-4 dies per setmana","Tots els dies","Tots els dies","3-4 dies per setmana","3-4 dies per setmana","TV3","Rac 1","El Periódico (català)","No ho sap","Incorrecte","Incorrecte","3","17","No","Catalunya","Altres comunitats autònomes","Blanc/a","Catolicisme","No treballa","Educació secundaria (ESO, EGB, Graduat Escolar, Certificat d’Escolaritat, Batxillerat Elemental)","Dona","Heterosexual","Casat/ada","Català (valencià / balear)","Català (valencià / balear)","Sí","Sí","Sí","Sí","No","Parella sense fills/es","De 1001 a 1200 €","No","3"
5,"Barcelona",">1.000.000 habitants","Barcelonès","Sí, tinc la ciutadania (espanyola)","Masculí",23,"Catalunya","Pitjor","3-4 dies per setmana","1-2 dies per setmana","Mai","Mai","1-2 dies per setmana","TV3","No escolta els informatius","El País","No ho sap","No ho sap","Incorrecte","No ho sap","16","No","Altres comunitats autònomes","Fora d'Espanya","Negre/a","Cap: Ateisme","No treballa","Educació secundaria (ESO, EGB, Graduat Escolar, Certificat d’Escolaritat, Batxillerat Elemental)","Home","Heterosexual","Solter/a","Castellà","Castellà","Sí","Sí","No","No","No","Parella amb fills/es","De 1.201 a 1.800 €","No","2"
3,"Tarragona","10.001-50.000 habitants","Baix Penedès","Sí, tinc la ciutadania (espanyola)","Femení",36,"Catalunya","Pitjor","3-4 dies per setmana","1-2 dies per setmana","Amb menys freqüència","1-2 dies per setmana","Amb menys freqüència","Telecinco","Onda Cero","La Vanguardia (castellà)","No ho sap","No ho sap","Correcte","6","16","No","Fora d'Espanya","Fora d'Espanya","Magribí/ina o àrab","Islam","No treballa","Educació secundaria (ESO, EGB, Graduat Escolar, Certificat d’Escolaritat, Batxillerat Elemental)","Dona","Heterosexual","Casat/ada","Altres llengües o altres combinacions","Castellà","Sí","No","No","No","Sí","Monoparental: pare/mare amb fills/es","De 301 a 600 €","No","2"
2,"Girona","10.001-50.000 habitants","Gironès","Sí, tinc la ciutadania (espanyola)","Masculí",85,"Catalunya","Igual","Mai","Tots els dies","5-6 dies per setmana","Mai","Mai","TV3","Rac 1","No llegeix diaris","Incorrecte","Correcte","Incorrecte","3","18","No","Catalunya","Catalunya","Blanc/a","Catolicisme","No treballa","FP de Grau Mig (Cicle/mòdul formatiu de FP (grau mitjà), d’Arts Plàstiques i Disseny, Música i Dansa, ensenyaments","Home","Heterosexual","Casat/ada","Català (valencià / balear)","Català (valencià / balear)","Sí","Sí","No","Sí","No","Parella sense fills/es","De 1.201 a 1.800 €","No","3"
4,"Tarragona","10.001-50.000 habitants","Baix Penedès","Sí, tinc la ciutadania (espanyola)","Femení",41,"Catalunya","Pitjor","Mai","Tots els dies","Tots els dies","Tots els dies","Amb menys freqüència","Antena 3","Altres emissores estatals","El Mundo","No ho sap","No ho sap","Aproximat","3","16","No","Catalunya","Altres comunitats autònomes","Blanc/a","Catolicisme","No treballa","Educació Primària (Educació Primària de la LOGSE, 5è curs d’EGB, ensenyament primari antic)","Dona","Heterosexual","Parella de fet","Castellà","Castellà","Sí","No","No","No","Sí","Parella amb fills/es","De 1001 a 1200 €","No","1"
1,"Girona","10.001-50.000 habitants","Gironès","Sí, tinc la ciutadania (espanyola)","Femení",65,"Catalunya","Igual","Amb menys freqüència","Amb menys freqüència","1-2 dies per setmana","Mai","Amb menys freqüència","TV3","Catalunya Ràdio","No té cap diari habitual","Incorrecte","Aproximat","Aproximat","4","16","No","Catalunya","Catalunya","Altres","Catolicisme","No treballa","FP de Grau Superior (Cicle/mòdul formatiu de FP (grau superior) d’Arts Plàstiques, Disseny, Música i Dansa, Esport,","Dona","Heterosexual","Separat/ada","Català (valencià / balear)","Català (valencià / balear)","Sí","Sí","No","Sí","No","Jo sol/a","De 2.001 a 2.400 €","No","3"
2,"Barcelona","150.001-1.000.000 habitants","Barcelonès","Sí, tinc la ciutadania i una altra","Femení",56,"Fora d'Espanya","Igual","Tots els dies","Tots els dies","Tots els dies","Tots els dies","Tots els dies","Altres canals estatals","COPE","La Razón","No ho sap","Incorrecte","Aproximat","5","16","No","Fora d'Espanya","Fora d'Espanya","Llatí/ina","Catolicisme","Treballa","Llicenciatura (Titulacions amb equivalència oficial: 2on cicle INEF; dansa i Art Dramàtic (Des de 1992); Grau Superior","Dona","Heterosexual","Casat/ada","Castellà","Castellà","Sí","Sí","No","No","No","Parella sense fills/es","De 2.001 a 2.400 €","No","1"
2,"Barcelona","150.001-1.000.000 habitants","Barcelonès","Sí, tinc la ciutadania (espanyola)","Masculí",77,"Altres comunitats autònomes","Igual","Mai","3-4 dies per setmana","Mai","Mai","1-2 dies per setmana","Telecinco","No escolta la ràdio / No té ràdio","Diaris esportius","No ho sap","No ho sap","Incorrecte","3","18","No","Fora d'Espanya","Fora d'Espanya","Blanc/a","Catolicisme","No treballa","Educació Primària (Educació Primària de la LOGSE, 5è curs d’EGB, ensenyament primari antic)","Home","Heterosexual","Casat/ada","Castellà","Castellà","Sí","Sí","No","Sí","No","Parella sense fills/es","De 2.001 a 2.400 €","No","2"
2,"Barcelona","10.001-50.000 habitants","Maresme","Sí, tinc la ciutadania (espanyola)","Masculí",62,"Catalunya","Pitjor","Mai","1-2 dies per setmana","Amb menys freqüència","1-2 dies per setmana","1-2 dies per setmana","TV3","Catalunya Ràdio","Diaris esportius","No ho sap","Incorrecte","Aproximat","5","16","No","Catalunya","Catalunya","Blanc/a","Cap: Agnosticisme","No treballa","Educació secundaria (ESO, EGB, Graduat Escolar, Certificat d’Escolaritat, Batxillerat Elemental)","Home","Heterosexual","Divorciat/ada","Català (valencià / balear)","Català (valencià / balear)","Sí","Sí","No","No","No","Parella sense fills/es","De 2.401 a 3.000 €","No","3"
3,"Tarragona","10.001-50.000 habitants","Baix Penedès","Sí, tinc la ciutadania (espanyola)","Masculí",46,"Catalunya","Igual","Tots els dies","Tots els dies","Tots els dies","Tots els dies","Tots els dies","Telecinco","Rac 1","Eldiario.es","Correcte","Correcte","Incorrecte","3","18","No","Altres comunitats autònomes","Altres comunitats autònomes","Blanc/a","Catolicisme","Treballa","Educació Primària (Educació Primària de la LOGSE, 5è curs d’EGB, ensenyament primari antic)","Home","Heterosexual","Separat/ada","Castellà","Castellà","Sí","Sí","No","No","No","Parella amb fills/es","No contesta","No","3"
2,"Girona","10.001-50.000 habitants","Gironès","Sí, tinc la ciutadania (espanyola)","Masculí",30,"Catalunya","Pitjor","Tots els dies","Mai","Mai","Tots els dies","5-6 dies per setmana","No mira els informatius","No escolta els informatius","Altres diaris estatals","No ho sap","Incorrecte","Aproximat","3","16","No","Altres comunitats autònomes","Catalunya","Blanc/a","Catolicisme","Treballa","Grau (Estudis de grau, ensenyaments artístics equivalents (Des de 2006))","Home","Heterosexual","Solter/a","Castellà","Totes dues igual: català (valencià / balear) i castellà","Sí","Sí","No","No","No","Parella sense fills/es","De 3.001 a 4.000 €","No","2"
3,"Barcelona","10.001-50.000 habitants","Maresme","Sí, tinc la ciutadania (espanyola)","Masculí",21,"Catalunya","Millor","Mai","Amb menys freqüència","Mai","Amb menys freqüència","Amb menys freqüència","TV3","No escolta la ràdio / No té ràdio","No llegeix diaris","No ho sap","No ho sap","Aproximat","5","16","No","Catalunya","Catalunya","Blanc/a","Cap: Agnosticisme","Treballa","FP de Grau Superior (Cicle/mòdul formatiu de FP (grau superior) d’Arts Plàstiques, Disseny, Música i Dansa, Esport,","Home","Heterosexual","Solter/a","Català (valencià / balear)","Totes dues igual: català (valencià / balear) i castellà","Sí","Sí","Sí","Sí","No","Parella amb fills/es","De 3.001 a 4.000 €","No","3"
2,"Barcelona","10.001-50.000 habitants","Maresme","Sí, tinc la ciutadania (espanyola)","Femení",32,"Fora d'Espanya","Millor","1-2 dies per setmana","Mai","Mai","Tots els dies","3-4 dies per setmana","TV3","Rac 1","La Vanguardia (català)","Aproximat","Correcte","Aproximat","3","16","No","Altres comunitats autònomes","Catalunya","Blanc/a","Catolicisme","Treballa","Màster oficial universitari (Especialitats mèdiques o equivalent)","Dona","Heterosexual","Parella de fet","Català (valencià / balear)","Català (valencià / balear)","Sí","Sí","No","No","No","Parella sense fills/es","De 3.001 a 4.000 €","No","3"
